Fecha,Vivienda,Tipo,kWh
2026-08-01,Casa-01,APORTA,8.22
2026-08-01,Casa-01,CONSUME,3.82
2026-08-01,Casa-02,APORTA,4.39
2026-08-01,Casa-02,CONSUME,4.13
2026-08-01,Casa-03,APORTA,6.46
2026-08-01,Casa-03,CONSUME,3.23
2026-08-01,Casa-04,APORTA,4.33
2026-08-01,Casa-04,CONSUME,4.93
2026-08-01,Casa-05,APORTA,5.96
2026-08-01,Casa-05,CONSUME,2.92
2026-08-02,Casa-01,APORTA,4.82
2026-08-02,Casa-01,CONSUME,2.22
2026-08-02,Casa-02,APORTA,4.20
2026-08-02,Casa-02,CONSUME,2.46
2026-08-02,Casa-03,APORTA,6.69
2026-08-02,Casa-03,CONSUME,3.08
2026-08-02,Casa-04,APORTA,7.79
2026-08-02,Casa-04,CONSUME,3.85
2026-08-02,Casa-05,APORTA,4.58
2026-08-02,Casa-05,CONSUME,1.52
2026-08-03,Casa-01,APORTA,3.62
2026-08-03,Casa-01,CONSUME,2.50
2026-08-03,Casa-02,APORTA,5.68
2026-08-03,Casa-02,CONSUME,4.98
2026-08-03,Casa-03,APORTA,6.92
2026-08-03,Casa-03,CONSUME,2.74
2026-08-03,Casa-04,APORTA,5.32
2026-08-03,Casa-04,CONSUME,2.57
2026-08-03,Casa-05,APORTA,4.45
2026-08-03,Casa-05,CONSUME,2.67
2026-08-04,Casa-01,APORTA,3.23
2026-08-04,Casa-01,CONSUME,2.87
2026-08-04,Casa-02,APORTA,3.42
2026-08-04,Casa-02,CONSUME,4.39
2026-08-04,Casa-03,APORTA,4.32
2026-08-04,Casa-03,CONSUME,2.61
2026-08-04,Casa-04,APORTA,7.01
2026-08-04,Casa-04,CONSUME,1.70
2026-08-04,Casa-05,APORTA,6.69
2026-08-04,Casa-05,CONSUME,1.76
2026-08-05,Casa-01,APORTA,5.95
2026-08-05,Casa-01,CONSUME,3.10
2026-08-05,Casa-02,APORTA,2.73
2026-08-05,Casa-02,CONSUME,2.17
2026-08-05,Casa-03,APORTA,8.27
2026-08-05,Casa-03,CONSUME,5.38
2026-08-05,Casa-04,APORTA,3.32
2026-08-05,Casa-04,CONSUME,2.00
2026-08-05,Casa-05,APORTA,2.53
2026-08-05,Casa-05,CONSUME,2.78
2026-08-06,Casa-01,APORTA,5.39
2026-08-06,Casa-01,CONSUME,3.01
2026-08-06,Casa-02,APORTA,4.45
2026-08-06,Casa-02,CONSUME,3.42
2026-08-06,Casa-03,APORTA,6.31
2026-08-06,Casa-03,CONSUME,4.57
2026-08-06,Casa-04,APORTA,5.67
2026-08-06,Casa-04,CONSUME,1.55
2026-08-06,Casa-05,APORTA,4.68
2026-08-06,Casa-05,CONSUME,3.59
2026-08-07,Casa-01,APORTA,3.68
2026-08-07,Casa-01,CONSUME,2.04
2026-08-07,Casa-02,APORTA,7.26
2026-08-07,Casa-02,CONSUME,1.59
2026-08-07,Casa-03,APORTA,2.86
2026-08-07,Casa-03,CONSUME,3.68
2026-08-07,Casa-04,APORTA,7.77
2026-08-07,Casa-04,CONSUME,2.06
2026-08-07,Casa-05,APORTA,4.03
2026-08-07,Casa-05,CONSUME,2.41
2026-08-08,Casa-01,APORTA,7.94
2026-08-08,Casa-01,CONSUME,4.20
2026-08-08,Casa-02,APORTA,7.94
2026-08-08,Casa-02,CONSUME,2.29
2026-08-08,Casa-03,APORTA,7.26
2026-08-08,Casa-03,CONSUME,3.80
2026-08-08,Casa-04,APORTA,3.59
2026-08-08,Casa-04,CONSUME,4.81
2026-08-08,Casa-05,APORTA,6.78
2026-08-08,Casa-05,CONSUME,4.66
2026-08-09,Casa-01,APORTA,5.19
2026-08-09,Casa-01,CONSUME,3.20
2026-08-09,Casa-02,APORTA,6.45
2026-08-09,Casa-02,CONSUME,3.75
2026-08-09,Casa-03,APORTA,2.67
2026-08-09,Casa-03,CONSUME,2.42
2026-08-09,Casa-04,APORTA,4.07
2026-08-09,Casa-04,CONSUME,4.02
2026-08-09,Casa-05,APORTA,4.26
2026-08-09,Casa-05,CONSUME,1.55
2026-08-10,Casa-01,APORTA,7.84
2026-08-10,Casa-01,CONSUME,1.79
2026-08-10,Casa-02,APORTA,5.29
